Subject.ID,ID,Condition,Gender,age.in.months,age.in.days,DOB,DOT,objects ,object.category,trial.number,trial.start,first.top.touch,trial.end ,latency.to.touch,latency,trial.duration,blocked.order
IPAP_260155,260155,Social.Information,Female,8months_30days,273,8/23/2018,5/22/2019,geode,Natural.objects,1,0:02:29,0:02:33,0:02:33,4,4,4,geode_stationeryholder_blueartifact_plant1_plant2_greenartifact_shoe_seashell
IPAP_260155,260155,Social.Information,Female,8months_30days,273,8/23/2018,5/22/2019,stationeryholder,Familiar.objects,2,0:03:23,0:03:24,0:03:24,1,1,1,geode_stationeryholder_blueartifact_plant1_plant2_greenartifact_shoe_seashell
IPAP_260155,260155,Social.Information,Female,8months_30days,273,8/23/2018,5/22/2019,blueartifact,Novel.artifacts,3,0:04:12,0:04:13,0:04:13,1,1,1,geode_stationeryholder_blueartifact_plant1_plant2_greenartifact_shoe_seashell
IPAP_260155,260155,Social.Information,Female,8months_30days,273,8/23/2018,5/22/2019,plant1,Plants,4,0:05:04,0:05:05,0:05:05,1,1,1,geode_stationeryholder_blueartifact_plant1_plant2_greenartifact_shoe_seashell
IPAP_260155,260155,Social.Information,Female,8months_30days,273,8/23/2018,5/22/2019,plant2,Plants,5,0:05:57,0:05:59,0:05:59,2,2,2,geode_stationeryholder_blueartifact_plant1_plant2_greenartifact_shoe_seashell
IPAP_260155,260155,Social.Information,Female,8months_30days,273,8/23/2018,5/22/2019,greenartifact,Novel.artifacts,6,0:06:47,0:06:49,0:06:49,2,2,2,geode_stationeryholder_blueartifact_plant1_plant2_greenartifact_shoe_seashell
IPAP_260155,260155,Social.Information,Female,8months_30days,273,8/23/2018,5/22/2019,shoe,Familiar.objects,7,0:07:35,0:07:39,0:07:39,4,4,4,geode_stationeryholder_blueartifact_plant1_plant2_greenartifact_shoe_seashell
IPAP_260155,260155,Social.Information,Female,8months_30days,273,8/23/2018,5/22/2019,seashell,Natural.objects,8,0:08:41,0:08:43,0:08:43,2,2,2,geode_stationeryholder_blueartifact_plant1_plant2_greenartifact_shoe_seashell
IPAP_260068,260068,Social.Information,Male,9months_7days,280,8/15/2018,5/22/2019,geode,Natural.objects,1,0:02:05,NA,0:02:35,30,NA,30,geode_blueartifact_plant1_stationeryholder_shoe_plant2_greenartifact_seashell
IPAP_260068,260068,Social.Information,Male,9months_7days,280,8/15/2018,5/22/2019,blueartifact,Novel.artifacts,2,0:03:20,NA,0:03:50,30,NA,30,geode_blueartifact_plant1_stationeryholder_shoe_plant2_greenartifact_seashell
IPAP_260068,260068,Social.Information,Male,9months_7days,280,8/15/2018,5/22/2019,plant1,Plants,3,0:04:33,NA,0:05:03,30,NA,30,geode_blueartifact_plant1_stationeryholder_shoe_plant2_greenartifact_seashell
IPAP_260068,260068,Social.Information,Male,9months_7days,280,8/15/2018,5/22/2019,stationeryholder,Familiar.objects,4,0:05:54,NA,0:06:24,30,NA,30,geode_blueartifact_plant1_stationeryholder_shoe_plant2_greenartifact_seashell
IPAP_260068,260068,Social.Information,Male,9months_7days,280,8/15/2018,5/22/2019,shoe,Familiar.objects,5,0:07:11,NA,0:07:41,30,NA,30,geode_blueartifact_plant1_stationeryholder_shoe_plant2_greenartifact_seashell
IPAP_260068,260068,Social.Information,Male,9months_7days,280,8/15/2018,5/22/2019,plant2,Plants,6,0:08:31,NA,0:09:01,30,NA,30,geode_blueartifact_plant1_stationeryholder_shoe_plant2_greenartifact_seashell
IPAP_260068,260068,Social.Information,Male,9months_7days,280,8/15/2018,5/22/2019,greenartifact,Novel.artifacts,7,0:09:48,NA,0:10:18,30,NA,30,geode_blueartifact_plant1_stationeryholder_shoe_plant2_greenartifact_seashell
IPAP_260068,260068,Social.Information,Male,9months_7days,280,8/15/2018,5/22/2019,seashell,Natural.objects,8,0:11:00,NA,0:11:30,30,NA,30,geode_blueartifact_plant1_stationeryholder_shoe_plant2_greenartifact_seashell
IPAP_260366,260366,No.Social.Information,Female,9months_9days,282,8/14/2018,5/23/2019,plant1,Plants,1,0:03:54,0:04:08,0:04:10,14,14,30,plant1_stationeryholder_blueartifact_geode_seashell_greenartifact_shoe_plant2
IPAP_260366,260366,No.Social.Information,Female,9months_9days,282,8/14/2018,5/23/2019,stationeryholder,Familiar.objects,2,0:05:00,0:05:01,0:05:01,1,1,1,plant1_stationeryholder_blueartifact_geode_seashell_greenartifact_shoe_plant2
